Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Tax_Burden,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Continent,Investment_Freedom,Financial_Freedom,Legislation_Violence,Government_Spending,Name
39.7,33.2,29.6,25.3,59.5,0,38.2,35.8,82.6,56.8,Africa,45,30,0,40.6,Republic of Congo 
68.6,66.7,51.9,39.8,89.7,89.3,63.1,64.5,82.7,86,Europe,70,50,1,69,Romania
58.9,52.4,45.1,36.6,89.4,86.6,78.4,52.5,65.1,77.8,Asia,30,30,0,62.3,Russia
71.1,72.2,83.2,67.9,79.8,86.3,56.2,82.2,76.1,70.4,Africa,60,40,1,79.4,Rwanda
68.7,65.9,63.8,50.3,76.2,81.3,76.3,69.2,83.9,73.2,Central America,65,40,1,79.3,Saint Lucia
65.8,36.5,63.8,50.5,71.2,85,76.5,73.5,82.2,66.6,Central America,70,40,1,74.3,Saint Vincent and the Grenadines
62.2,53.8,31,37.7,79.9,93.6,77,78.2,83.5,63.8,Oceania,55,30,1,62.3,Samoa
54,37.4,26.6,35.5,87.2,62.3,65.1,42.7,70.5,64.2,Africa,60,30,1,67,Sao Tome and Principe
60.7,55,62.7,49.8,99.8,19.4,72.3,63.3,78.1,76,Middle East,45,50,1,57.5,Saudi Arabia
56.3,47.8,40.4,40.3,70.8,60,53.3,39.4,78.2,72,Africa,60,40,1,73.3,Senegal
63.9,50.1,44.8,37.2,82,90.1,72.9,67.4,80,77,Europe,70,50,1,45.1,Serbia 
61.4,58.2,37.5,39.2,76.3,92,63.3,63.2,80,81.4,Africa,55,30,1,60.3,Seychelles
47.5,35.5,34.5,26.2,87.3,13.2,44.9,29.3,65,69.4,Africa,60,20,1,84.4,Sierra Leone
89.4,97.4,92.4,95.1,90.4,80,90.8,91,85.3,94.8,Asia,85,80,1,90.7,Singapore
65,68.5,37.2,37.7,78.6,87.2,61.3,53.4,78.6,86,Europe,75,70,1,46.1,Slovakia
65.5,76.4,46.5,53.6,58.4,82.6,79.3,61.2,83.6,86,Europe,70,50,1,38.3,Slovenia
54.6,49.9,51.7,33.5,65.5,89.4,68.6,72,86,56.8,Oceania,15,30,1,36.5,Solomon Islands
58.3,58.8,39.3,39.7,62.1,62.6,64.3,59.1,75.2,76,Africa,45,50,1,67.6,South Africa
72.3,79.3,57.5,50.5,64.2,96.8,91.3,57.4,82,80.4,Asia,70,70,1,68.6,South Korea
65.7,72.9,51.4,51.9,62.3,51.1,66.8,57.8,87.5,86,Europe,85,70,1,46.2,Spain
56.4,44.7,39.4,28.9,84.9,30.4,75.1,58.8,70.1,76.2,Asia,40,40,1,88.3,Sri Lanka
47.7,27.5,22.2,26.2,86.3,76.1,52.1,59,56.9,45,Middle East,5,20,0,96.6,Sudan
48.1,49.1,22.2,35.5,70.9,9.6,48.3,73.5,56,64.6,South America,40,30,1,77.2,Suriname
75.2,89.5,84,88,43.2,96.6,88,53.9,82,86,Europe,85,80,1,26.7,Sweden
81.9,85.3,82,88,70.5,96.3,75.4,72.5,85.2,87.4,Europe,85,90,1,64.8,Switzerland
77.3,85.4,70.1,69.2,75,91.6,93.2,60.9,84.4,87,Asia,60,60,0,90.6,Taiwan
